Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	258.241	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	15480	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	281.648	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	16882	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	297.581	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	17837	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	315.899	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	18935	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	335.385	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	20103	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	354.621	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	21256	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	375.909	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	22532	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	389.439	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	23346	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	413.763	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	24801	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	430.830	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	25825	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	459.509	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	27543	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	488.838	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	29301	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	489.906	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	29365	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	518.251	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	31064	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	529.779	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	31755	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	539.322	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	32329	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	547.680	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	32828	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	563.997	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	33806	NA	
Dyad 11 A2E Foraging Only	2024-03-17 10:08:22		2481.212	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX030551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX040551.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX050551.MP4	707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940	Dominant	Foraging	Other	POINT	590.690	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Yellow/A2E/Videos/GX020551.MP4	35406	NA	
